address
"The Library, Falkirk Square, Crewkerne, Somerset"
"The Library, 7-9 Fore Street, Dulverton, Somerset"
"The Library, Church Street, Bishops Lydeard, Somerset"
"The Library, Binford Place, Bridgwater, Somerset"
"Quaperlake Street, Bruton, Somerset"
"The Library, Princess Street, Burnham-on-Sea, Somerset"
"The Library, Bailey Hill, Castle Cary, Somerset"
"The Library, Holyrood Lace Mill, Chard, Somerset"
"The Library, Union Street, Cheddar, Somerset"
"The Library, Justice Lane, Frome, Somerset"
"Library Hub, 1 Orchard Court, The Archers Way, Glastonbury, Somerset"
"The Library, Alpha House, Market Street, Highbridge, Somerset"
"The Library, Ditton Street, Ilminster, Somerset"
"The Library, Watley, Langport, Somerset"
"The Library, The Shopping Centre, Martock, Somerset"
"The Library, Cross Cottage, North Street, Milborne Port, Somerset"
"The Library, Bancks Street, Minehead, Somerset"
"The Library, Castle Street, Nether stowey, Bridgwater, Somerset"
"The Library, Quantock ouse, Fore Street, North Petherton, Somerset"
"The Library, The Old School Centre, Porlock, Somerset"
"The Library, Hillside Children's Centre, Eastwock Road, Taunton, Somerset"
"The Library, Shepton Mallet, Somerset"
"The Library, Cox's Yard, Somerton, Somerset"
"The Library,St. James' Corner, South Petherton, Somerset"
"The Library, 1 Leigh Road, Street, Somerset"
"The Library, Monmouth Hall, Monmouth Road, Yeovil, Somerset"
"The Library, Paul Street, Taunton, Somerset"
"The Library, The Esplanade, Watchet, Somerset"
"The Library, 16 Fore Street, Wellington Somerset"
"The Library, Union Street, Wells, Somerset"
"The Library, Killick Way, Williton, Somerset"
"The Library, Carrington Way, Wincanton, Somerset"
"The Library, 9 The Square, Wiveliscombe, Somerset"
"The Library, King George Street, Yeovil, Somerset"
